timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1506463352.715,21.973,23.926,21.484,29.297,26.367,0
1506463352.719,33.203,34.668,28.809,36.621,10.254,0
1506463352.723,26.855,32.227,28.320,31.738,8.301,0
1506463352.727,24.414,32.715,28.809,30.762,0.977,0
1506463352.731,22.949,32.227,25.879,26.855,-0.488,0
1506463352.735,23.438,30.273,24.414,26.367,31.738,0
1506463352.739,27.832,33.691,29.785,30.762,19.043,0
1506463352.743,25.879,34.668,34.180,32.227,-8.789,0
1506463352.747,24.414,31.250,31.250,28.809,15.137,0
1506463352.751,20.508,28.320,25.391,23.926,62.500,0
1506463352.755,16.602,27.832,19.531,21.973,58.105,0
1506463352.758,15.625,28.320,20.508,19.531,10.742,0
1506463352.762,14.160,26.855,24.414,18.066,41.504,0
1506463352.766,12.695,23.438,24.414,18.555,39.062,0
1506463352.770,11.230,20.020,21.484,15.137,1.465,0
1506463352.774,10.742,23.438,24.902,19.531,-29.785,0
1506463352.778,10.742,24.902,27.344,24.902,-21.973,0
1506463352.782,17.090,28.320,32.715,29.297,21.484,0
1506463352.786,25.391,37.109,41.992,38.086,20.020,0
1506463352.790,30.762,39.062,37.598,37.109,40.527,0
1506463352.794,35.156,37.109,33.691,34.668,44.434,0
1506463352.797,28.320,30.273,30.762,32.715,23.926,0
1506463352.801,24.902,28.809,28.809,37.598,26.367,0
1506463352.805,19.531,24.414,24.902,39.551,18.555,0
1506463352.809,11.719,20.020,25.391,40.039,2.441,0
1506463352.813,15.625,24.414,29.297,45.410,-6.836,0
1506463352.817,22.461,26.855,26.855,47.363,-14.648,0
1506463352.821,25.879,26.367,25.391,45.898,19.043,0
1506463352.825,32.227,27.832,28.320,42.969,5.859,0
1506463352.829,38.086,33.203,28.320,45.410,0.977,0
1506463352.833,39.062,35.156,27.344,48.828,3.906,0
1506463352.837,29.297,26.367,20.508,42.480,-24.414,0
1506463352.840,24.414,21.484,20.020,41.992,20.508,0
1506463352.844,29.297,25.879,24.414,47.363,12.695,0
1506463352.848,29.297,22.461,20.020,45.898,-3.418,0
1506463352.852,26.367,19.531,20.020,44.922,24.414,0
1506463352.856,28.320,25.879,24.902,49.316,30.273,0
1506463352.860,27.344,24.902,21.484,49.805,21.484,0
1506463352.864,29.297,26.855,23.438,48.828,0.977,0
1506463352.868,35.645,29.297,24.902,50.293,-4.395,0
1506463352.872,34.668,30.762,22.949,52.246,14.648,0
1506463352.876,30.762,30.762,22.461,49.805,18.555,0
1506463352.880,32.227,24.902,19.531,43.945,-7.324,0
1506463352.883,33.203,22.461,17.090,40.527,-15.625,0
1506463352.887,31.738,25.391,15.625,40.039,25.391,0
1506463352.891,36.621,29.785,20.996,46.387,24.902,0
1506463352.895,35.645,28.809,23.438,47.852,-4.883,0
1506463352.899,26.855,24.902,21.484,46.387,19.043,0
1506463352.903,35.645,31.738,33.203,56.641,34.180,0
1506463352.907,38.086,35.645,41.016,61.523,47.363,0
1506463352.911,25.879,31.738,30.762,55.176,38.574,0
1506463352.915,29.785,36.621,32.227,58.594,-11.230,0
1506463352.919,31.250,37.109,34.668,59.570,7.812,0
1506463352.922,30.273,32.715,32.227,55.664,4.395,0
1506463352.926,30.762,28.809,30.762,52.246,-36.133,0
1506463352.930,30.762,26.367,28.809,51.758,41.992,0
1506463352.934,32.715,29.297,29.297,54.199,65.430,0
1506463352.938,30.273,26.367,27.344,53.223,26.367,0
1506463352.942,23.926,19.043,21.973,48.828,15.625,0
1506463352.946,22.949,16.113,17.090,45.410,28.809,0
1506463352.950,24.414,13.184,13.672,48.828,16.113,0
1506463352.954,30.762,20.508,20.508,55.176,-1.465,0
1506463352.958,37.598,23.438,22.949,55.664,15.625,0
1506463352.962,36.621,16.602,17.090,50.293,27.344,0
1506463352.965,34.180,18.555,19.043,47.852,34.668,0
1506463352.969,30.762,14.648,15.625,42.480,13.672,0
1506463352.973,29.785,9.766,11.719,40.039,43.457,0
1506463352.977,30.273,14.648,17.090,44.922,69.824,0
1506463352.981,23.438,15.625,21.484,45.898,10.742,0
1506463352.985,24.902,16.602,25.391,48.340,-3.906,0
1506463352.989,34.668,22.461,30.273,53.223,34.180,0
1506463352.993,32.227,19.531,23.926,46.387,26.855,0
1506463352.997,21.973,13.672,16.113,39.062,19.531,0
1506463353.001,18.066,12.695,12.695,35.156,9.766,0
1506463353.005,27.832,17.090,14.648,36.133,-6.348,0
1506463353.008,28.320,14.160,13.184,35.156,41.992,0
1506463353.012,23.926,12.207,13.184,30.762,9.766,0
1506463353.016,29.785,20.020,21.973,36.133,-25.879,0
1506463353.020,25.879,22.949,27.344,40.039,7.812,0
1506463353.024,22.461,25.391,30.762,41.016,-4.883,0
1506463353.028,23.926,25.879,30.762,41.992,6.836,0
1506463353.032,29.297,29.297,33.691,44.922,46.387,0
1506463353.036,37.598,34.180,39.551,47.852,49.316,0
1506463353.040,36.621,31.738,39.062,45.898,31.250,0
1506463353.044,36.621,29.297,34.180,43.945,18.555,0
1506463353.047,44.434,32.227,37.109,47.363,31.250,0
1506463353.051,46.387,35.156,39.062,44.434,10.742,0
1506463353.055,42.480,28.320,32.715,38.086,3.906,0
1506463353.059,37.598,22.949,30.273,39.551,-9.277,0
1506463353.063,35.156,20.996,27.344,37.109,-19.531,0
1506463353.067,40.039,26.855,28.809,41.992,30.762,0
1506463353.071,47.852,30.273,33.691,47.363,41.992,0
1506463353.075,51.758,30.273,37.598,48.828,7.812,0
1506463353.079,48.828,26.367,32.227,47.363,15.137,0
1506463353.083,47.852,20.508,31.250,49.316,28.809,0
1506463353.087,48.828,22.949,39.551,56.641,20.020,0
1506463353.090,45.898,24.414,39.062,54.688,20.508,0
1506463353.094,42.480,20.508,33.691,48.340,41.992,0
1506463353.098,35.156,16.602,29.785,44.434,48.340,0
1506463353.102,28.809,14.648,27.832,41.016,3.906,0
1506463353.106,31.738,12.207,26.855,37.598,-28.809,0
1506463353.110,32.715,11.230,28.320,38.574,4.883,0
1506463353.114,27.832,11.719,29.785,41.992,37.598,0
1506463353.118,23.926,10.742,27.344,41.992,16.602,0
1506463353.122,25.391,9.766,26.855,41.992,14.648,0
1506463353.126,32.715,13.672,34.180,49.805,52.246,0
1506463353.130,39.062,20.508,39.551,54.688,53.223,0
1506463353.133,33.691,16.602,35.156,48.340,25.391,0
1506463353.137,33.203,12.695,29.785,43.945,34.180,0
1506463353.141,40.039,19.531,34.668,49.316,39.551,0
1506463353.145,41.504,21.973,38.574,53.711,30.762,0
1506463353.149,41.992,20.996,39.551,51.758,11.719,0
1506463353.153,38.574,13.184,35.645,42.480,7.324,0
1506463353.157,33.203,7.812,26.367,36.133,37.598,0
1506463353.161,31.250,5.371,20.996,32.227,55.176,0
1506463353.165,25.391,0.977,18.555,27.344,41.016,0
1506463353.169,29.785,8.789,25.879,36.133,31.250,0
1506463353.172,32.715,14.160,30.762,42.969,15.625,0
1506463353.176,26.855,10.742,29.297,41.504,7.812,0
1506463353.180,27.344,13.672,33.203,42.969,15.625,0
1506463353.184,27.344,15.137,34.180,41.992,31.738,0
1506463353.188,24.414,13.672,34.668,39.062,14.648,0
1506463353.192,21.484,11.719,37.109,39.551,-6.348,0
1506463353.196,15.137,5.371,33.203,36.133,-0.488,0
1506463353.200,13.184,1.465,24.902,27.344,1.953,0
1506463353.204,22.461,7.812,28.320,27.832,31.250,0
1506463353.208,33.203,16.113,36.621,35.156,6.348,0
1506463353.212,38.086,20.020,39.551,39.551,-12.695,0
1506463353.215,44.922,25.391,44.922,44.922,17.578,0
1506463353.219,44.922,27.344,47.852,47.852,27.832,0
1506463353.223,42.480,29.785,49.316,47.852,30.762,0
1506463353.227,38.574,25.879,41.504,40.527,28.320,0
1506463353.231,23.926,9.766,24.902,23.438,26.855,0
1506463353.235,25.391,6.836,25.879,20.508,7.324,0
1506463353.239,41.504,18.066,37.109,27.832,-4.883,0
1506463353.243,45.898,20.508,35.156,26.367,25.879,0
1506463353.247,41.016,20.996,33.203,27.832,51.270,0
1506463353.251,41.992,31.738,46.387,42.969,13.184,0
